   	      	                    fitness                    	                      size
   	      	-----------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min    	nevals	std    	avg 	gen	max	min	nevals	std
0  	200   	19.5322	0  	922.333	5.09063	200   	71.6406	3.51	0  	7  	2  	200   	1.44565
1  	147   	8.49734	1  	23.9066	5.09063	147   	2.94724	3.485	1  	8  	1  	147   	1.50325
2  	126   	7.69563	2  	22.9582	4.88789	126   	2.22464	3.58 	2  	11 	1  	126   	1.68036
3  	147   	8.15232	3  	68.0418	4.88789	147   	6.02674	4.01 	3  	11 	1  	147   	1.9157
4  	137   	6.97867	4  	73.5418	4.88789	137   	4.97796	4.495	4  	10 	1  	137   	2.09045
5  	142   	7.12976	5  	38.6684	4.66289	142   	3.63836	5.575	5  	12 	1  	142   	2.36313
6  	152   	6.44673	6  	22.2145	4.66289	152   	2.0843 	6.135	6  	11 	1  	152   	2.21061
7  	140   	5.99028	7  	24.9582	4.42227	140   	2.24608	6.95 	7  	14 	1  	140   	2.30814
8  	155   	5.8729 	8  	20.12  	4.42227	155   	1.61127	7.73 	8  	15 	1  	155   	2.32961
9  	158   	7.10039	9  	78.0804	4.42227	158   	7.53424	8.135	9  	14 	2  	158   	2.40765
10 	145   	6.44822	10 	75.5676	3.88736	145   	5.78967	8.24 	10 	16 	2  	145   	2.63864
11 	155   	6.09678	11 	27.9582	3.88736	155   	2.61444	8.39 	11 	17 	1  	155   	2.93222
12 	146   	8.28869	12 	465.451	1.35358	146   	32.5523	8.465	12 	22 	2  	146   	3.2154
13 	129   	5.95969	13 	18.4658	1.35358	129   	2.71198	8.715	13 	21 	1  	129   	3.51479
14 	148   	7.18811	14 	272.973	1.35358	148   	19.2907	9.75 	14 	26 	1  	148   	4.04444
15 	149   	6.52619	15 	62.9136	1.35358	149   	6.69047	12.115	15 	31 	2  	149   	4.72882
16 	144   	6.51942	16 	127.486	1.21058	144   	9.94501	13.665	16 	29 	2  	144   	5.25859
17 	153   	6.00432	17 	32.3326	1.21058	153   	4.76965	15.75 	17 	32 	2  	153   	6.5328
18 	152   	6.21535	18 	49.4827	0.89754	152   	7.50171	17.235	18 	50 	2  	152   	7.36748
19 	141   	4.9821 	19 	50.7526	0.863024	141   	5.41639	18.97 	19 	43 	1  	141   	7.55309
20 	131   	5.65224	20 	77.2684	0.863024	131   	8.7072 	20.335	20 	43 	1  	131   	7.33231
21 	151   	6.40195	21 	150.547	0.863024	151   	12.259 	20.3  	21 	40 	1  	151   	7.24017
22 	140   	6.51028	22 	96.662 	0.863024	140   	10.8825	20.605	22 	43 	5  	140   	6.89848
23 	146   	8.97286	23 	376.742	0.863024	146   	28.8665	19.885	23 	52 	1  	146   	7.99761
24 	147   	5.97125	24 	219.678	0.863024	147   	16.6624	20.075	24 	54 	1  	147   	6.89125
25 	138   	4.77721	25 	121.634	0.863024	138   	10.9448	20.795	25 	54 	4  	138   	6.80904
26 	151   	6.67489	26 	140.832	0.863024	151   	14.0674	21.39 	26 	61 	4  	151   	7.72644
27 	142   	5.47606	27 	71.6271	0.863024	142   	8.74295	22.53 	27 	63 	1  	142   	7.69799
28 	154   	6.50354	28 	141.485	0.863024	154   	13.2967	23.155	28 	66 	2  	154   	8.43747
29 	142   	5.18955	29 	118.663	0.863024	142   	11.2   	22.905	29 	43 	4  	142   	6.84587
30 	150   	8.33154	30 	537.346	0.784117	150   	38.9177	23.315	30 	49 	4  	150   	6.66977
31 	144   	4.65135	31 	59.0222	0.863024	144   	6.74775	23.505	31 	49 	2  	144   	6.995
32 	147   	6.67462	32 	149.514	0.863024	147   	14.7378	24.77 	32 	65 	1  	147   	8.59285
33 	147   	4.6846 	33 	46.9383	0.863024	147   	6.84072	25.12 	33 	52 	4  	147   	7.22396
34 	136   	6.57121	34 	379.821	0.863024	136   	27.9029	24.875	34 	69 	3  	136   	8.26797
35 	126   	4.87078	35 	68.5616	0.863024	126   	8.97194	25.395	35 	46 	4  	126   	6.89485
36 	151   	5.02917	36 	73.7806	0.863024	151   	9.09668	25.735	36 	50 	3  	151   	8.48733
37 	127   	3.64713	37 	55.5473	0.863024	127   	5.30824	25.81 	37 	50 	3  	127   	7.34873
38 	157   	6.03029	38 	351.321	0.861841	157   	25.4575	26.01 	38 	49 	3  	157   	7.69545
39 	143   	3.86173	39 	37.7538	0.861841	143   	5.3093 	26.38 	39 	54 	4  	143   	8.82132
40 	162   	6.13902	40 	66.1733	0.861841	162   	9.81294	26.2  	40 	65 	1  	162   	10.6019
41 	141   	4.59487	41 	64.2882	0.861841	141   	7.72619	27.265	41 	73 	2  	141   	9.56999
42 	141   	3.94647	42 	33.1369	0.861841	141   	5.44492	27.29 	42 	53 	6  	141   	8.41403
43 	155   	4.52705	43 	67.6367	0.861841	155   	7.36453	27.845	43 	60 	2  	155   	9.7489
44 	140   	3.23085	44 	29.3078	0.861841	140   	4.03504	29.065	44 	57 	1  	140   	8.96888
45 	133   	4.72744	45 	57.0483	0.703347	133   	8.36569	29.47 	45 	62 	5  	133   	9.36638
46 	139   	4.03723	46 	37.7113	0.861841	139   	5.36111	28.635	46 	60 	6  	139   	8.61985
47 	149   	8.30385	47 	525.524	0.861841	149   	42.429 	28.655	47 	62 	3  	149   	9.09813
48 	142   	4.48166	48 	141.234	0.861841	142   	10.9201	28.78 	48 	59 	3  	142   	8.04622
49 	150   	4.63275	49 	88.8829	0.861841	150   	8.72329	29.83 	49 	67 	4  	150   	10.8509
50 	142   	4.82042	50 	86.5582	0.861841	142   	10.222 	30.995	50 	48 	1  	142   	7.64428
51 	164   	5.03803	51 	94.8889	0.861841	164   	9.60537	30.86 	51 	61 	6  	164   	9.66491
